sym,entry,ret,excess,beta,maxday,n_flags,n_known,DILUTION,ASSET_BLOAT,LOSS,LOTTO
TPC,2026-04-28,-0.008039194847032305,-0.10039464334416082,1.6839145801414261,0.05986540704044074,0,4,False,False,False,False
ARCB,2026-04-29,0.02308613422439665,-0.0694381619595601,1.9086339299646247,0.05527302724284788,0,4,False,False,False,False
AXGN,2026-04-29,0.0995930045923401,0.007068708408383362,0.8763541783889547,0.09712811394361709,1,4,False,False,True,False
BTSG,2026-04-29,0.16012458650346684,0.06760029031951009,1.4663304588755313,0.05561893095084747,1,4,True,False,False,False
ECO,2026-04-29,0.726047292241625,0.6335229960576683,0.2931041972854133,0.05022742349727305,1,4,True,False,False,False
INSW,2026-04-29,0.49371374337958907,0.4011894471956323,0.3755146398548697,0.04361063975058754,0,4,False,False,False,False
MEOH,2026-04-29,-0.06707983194423617,-0.1596041281281929,0.384877621097033,0.051711708471852136,1,4,True,False,False,False
MU,2026-04-29,1.0138881448245955,0.9213638486406388,2.485021427603174,0.0916635546438882,1,4,False,False,False,True
SNDK,2026-04-29,0.6600483734357665,0.5675240772518098,3.46263525109993,0.11825959843501432,2,3,,False,True,True
TALO,2026-04-29,0.026891826849958278,-0.06563246933399847,0.05258090118560205,0.05202314010771003,1,4,False,False,True,False
VLO,2026-04-29,0.5784540603267301,0.48592976414277333,0.24078638558649432,0.03142130116003061,0,4,False,False,False,False
AMD,2026-04-30,0.7363537377297793,0.6545926240702173,2.29117753430257,0.1391281985212871,1,4,False,False,False,True
CECO,2026-04-30,-0.03520367725705664,-0.1169647909166186,1.4083785173047825,0.1443315312825162,1,4,False,False,True,False
CTOS,2026-04-30,-0.04771576130220201,-0.12947687496176397,1.6509079026595612,0.06218271116775598,1,4,False,False,True,False
DAR,2026-04-30,-0.015102054876285131,-0.09686316853584709,0.6933865925492118,0.04005794215860936,0,4,False,False,False,False
DK,2026-04-30,0.6111032925324733,0.5293421788729114,0.35597368950705693,0.13718312081639072,1,4,False,False,True,False
ENS,2026-04-30,-0.1602733466038352,-0.24203446026339714,1.6967407825751182,0.0553526387878891,0,4,False,False,False,False
GFS,2026-04-30,-0.24705886388113352,-0.3288199775406955,1.8352179750429034,0.08809466291064916,0,4,False,False,False,False
HAL,2026-04-30,-0.2036011507537867,-0.28536226441334867,0.548361085965693,0.040076373923742414,0,4,False,False,False,False
HP,2026-04-30,0.009771331118712423,-0.07198978254084953,0.8668901657599367,0.058212152847648246,0,4,False,False,False,False
LBRT,2026-04-30,-0.4380397865389919,-0.5198009001985539,1.3134013983935315,0.09857235595228309,0,4,False,False,False,False
MXL,2026-04-30,0.21526506511566912,0.13350395145610716,2.7444920796080736,0.761167874301437,2,4,False,False,True,True
NESR,2026-04-30,0.2991179162820805,0.21735680262251855,1.1447634658030303,0.1093172923673329,0,4,False,False,False,False
NGL,2026-04-30,0.004938266662867674,-0.07682284699669428,0.6860152365160161,0.08563541187798762,0,4,False,False,False,False
PARR,2026-04-30,0.24866761514205415,0.1669065014824922,-0.0185401068559153,0.061491749506300986,0,4,False,False,False,False
PBR,2026-04-30,-0.02866351463049366,-0.11042462829005562,0.1086824505698285,0.04673801299937019,0,4,False,False,False,False
PBR-A,2026-04-30,-0.01820307352986883,-0.09996418718943079,0.16872115347395572,0.03620408547350884,0,4,False,False,False,False
RIG,2026-04-30,-0.20087981347696993,-0.2826409271365319,1.181361491855817,0.06710308321651093,1,4,True,False,False,False
RSI,2026-04-30,-0.23238436291807507,-0.31414547657763703,1.0688701890409569,0.16583331425984693,3,4,True,True,False,True
SDRL,2026-04-30,-0.0625879831275068,-0.14434909678706875,0.9451886919907865,0.03440718075988136,1,4,False,False,True,False
SSL,2026-04-30,-0.018813262007877807,-0.10057437566743976,0.03006251218890327,0.0897436602816335,0,4,False,False,False,False
STRL,2026-04-30,-0.005779412158119945,-0.0875405258176819,2.5266222286109272,0.1076081961997144,1,4,False,False,False,True
SYRE,2026-04-30,0.23613166624138815,0.1543705525818262,2.0500331733856365,0.23357378296730635,3,4,True,False,True,True
VAL,2026-04-30,-0.19798001350069128,-0.27974112716025323,1.1218370442170362,0.06755122127201307,0,4,False,False,False,False
VISN,2026-04-30,-0.11161572243095708,-0.19337683609051903,2.7811432066581965,0.05757582311887388,1,4,False,False,False,True
WFRD,2026-04-30,-0.2508529155436653,-0.33261402920322725,1.2470957825126237,0.06071615771435024,0,4,False,False,False,False
MTSI,2026-05-02,-0.0178408313564955,-0.09661475812190456,1.7623843900904885,0.059482774823081064,0,4,False,False,False,False
ASX,2026-05-02,0.39822426949594414,0.3194503427305351,1.6075396294813893,0.08787737613304425,1,4,False,False,True,False
SGML,2026-05-02,-0.5325443432526173,-0.6113182700180264,1.6290286902827105,0.21470836671462168,2,4,False,False,True,True
WULF,2026-05-02,-0.18113556075737947,-0.25990948752278853,3.346584008886217,0.08931801867797362,3,4,False,True,True,True
UMC,2026-05-02,0.9829423438132792,0.9041684170478701,0.9371527067701677,0.09792844912986864,0,4,False,False,False,False
COGT,2026-05-02,-0.12639915187295592,-0.20517307863836498,2.7283409972209327,0.037338626359815885,4,4,True,True,True,True
FN,2026-05-02,-0.43163065875083406,-0.5104045855162431,2.734481866556736,0.09406158059306935,1,4,False,False,False,True
CLS,2026-05-02,-0.17790561688663153,-0.2566795436520406,2.7547546009723107,0.08777284496456317,1,4,False,False,False,True
FRO,2026-05-02,0.4990954837792694,0.4203215570138603,0.29842368293848526,0.056330018368832446,0,4,False,False,False,False
SMTC,2026-05-02,0.6452091562360767,0.5664352294706676,2.724186856351958,0.09831678061952132,1,4,False,False,False,True
LSCC,2026-05-02,-0.030753978578532015,-0.10952790534394108,2.462187173065796,0.10037176361292333,1,4,False,False,False,True
VSAT,2026-05-02,0.1729114562641345,0.09413752949872545,2.9133271198337916,0.18704397899833292,2,4,False,False,True,True
ACLS,2026-05-04,-0.20243881426502686,-0.2851792316502868,1.98892051945791,0.10351217525514911,0,4,False,False,False,False
EQNR,2026-05-04,0.048926983902168875,-0.03381343348309107,-0.4463619536550649,0.04554297595694279,0,4,False,False,False,False
EZPW,2026-05-04,-0.07666359868777228,-0.15940401607303223,0.7895867508509837,0.04496541336319804,1,4,True,False,False,False
SITM,2026-05-04,0.1304101714308814,0.04766975404562146,2.585613450682855,0.0702779826075226,3,4,True,False,True,True
VECO,2026-05-04,-0.13174944127755583,-0.21448985866281578,1.9632913691508262,0.08750286745911517,0,4,False,False,False,False
APA,2026-05-04,0.049936900638343884,-0.03280351674691606,-0.03140493511861528,0.045315530535976256,0,4,False,False,False,False
TTMI,2026-05-04,-0.21242144102580307,-0.295161858411063,3.227089359793242,0.1506909179687499,2,4,False,False,True,True
ESI,2026-05-04,-0.21591894893953956,-0.2986593663247995,2.009577564159029,0.09747285072990874,1,4,False,False,False,True
CLMT,2026-05-04,0.7019032601752995,0.6191628427900395,0.3705204036576792,0.06620775271259549,0,4,False,False,False,False
KGS,2026-05-04,-0.16233130977410692,-0.24507172715936687,0.6955971923978138,0.032581835982045115,0,4,False,False,False,False
PBF,2026-05-04,0.6086347565962016,0.5258943392109416,0.06727443723468843,0.07788068247263169,1,4,False,False,True,False
APLD,2026-05-04,-0.2088128069329631,-0.29155322431822306,3.336926314575143,0.14021735066652496,4,4,True,True,True,True
FSLY,2026-05-05,-0.15265761560206437,-0.2267811530512559,0.9529498635421368,0.1159903727605498,1,4,False,False,True,False
SQM,2026-05-05,-0.22640024576087536,-0.3005237832100669,1.2280225379594347,0.0877652418420436,0,4,False,False,False,False
ONTO,2026-05-05,-0.09514750496285862,-0.16927104241205015,2.6611433482281024,0.09757658173180817,1,4,False,False,False,True
TSEM,2026-05-05,0.03675789735198132,-0.03736564009721022,2.41870961081123,0.10980023687206297,2,4,False,False,True,True
OGN,2026-05-05,0.027754748948262575,-0.04636878850092896,1.082889446874278,0.3093023581716978,1,4,False,False,False,True
CRDO,2026-05-05,-0.03254638019001399,-0.10666991763920552,3.011460763651683,0.18725813893879195,1,4,False,False,False,True
CTRI,2026-05-05,-0.5108225286946323,-0.5849460661438238,1.2895521211967063,0.06878903206232412,2,4,True,False,True,False
LWLG,2026-05-05,-0.6722487892271303,-0.7463723266763218,3.1518559819604652,0.25592427825551267,4,4,True,True,True,True
GTX,2026-05-05,0.015433020332279002,-0.05869051711691253,1.5299953274035598,0.2498780489631074,1,4,False,False,False,True
NEXA,2026-05-05,-0.1874261751861852,-0.26154971263537674,1.5292856866796687,0.22696817068984254,1,4,False,False,False,True
AMSC,2026-05-05,-0.45028175433917494,-0.5244052917883665,2.8878106138499295,0.14834250358770773,1,4,False,False,False,True
VET,2026-05-05,-0.11204286013928832,-0.18616639758847986,0.06749231807191614,0.04274196643056949,0,4,False,False,False,False
TRMD,2026-05-05,0.16964865951707986,0.09552512206788832,0.4806586936357054,0.03512959471185528,0,4,False,False,False,False
ALGM,2026-05-05,-0.2854267354684069,-0.35955027291759845,2.4214230122197655,0.10052190460296417,2,4,False,False,True,True
AXTI,2026-05-05,-0.25681080393173084,-0.33093434138092237,4.1490285480223825,0.29953914480707144,3,4,True,False,True,True
NBIS,2026-05-05,0.3233288169329538,0.24920527948376225,3.084068825853939,0.1419508828792917,3,4,False,True,True,True
AMAT,2026-05-05,0.1326473364365286,0.05852379898733706,2.1449619049482913,0.08865128097279973,1,4,False,False,False,True
ALMS,2026-05-05,-0.6976655052010472,-0.7717890426502387,1.6986950414109843,0.07863701146375712,2,4,True,False,True,False
TVTX,2026-05-05,0.40312503751899587,0.32900150006980433,1.8286471607840094,0.3723127042711314,2,4,False,False,True,True
YOU,2026-05-05,-0.3277470616699204,-0.40187059911911194,0.9912486073692058,0.07165766404620899,0,4,False,False,False,False
CIFR,2026-05-06,-0.13738020309650345,-0.19677871699885685,4.052008351263708,0.23532706179170093,4,4,True,True,True,True
AMKR,2026-05-05,-0.317626512688302,-0.39175005013749353,2.844124119811379,0.10079804845785456,1,4,False,False,False,True
ANAB,2026-05-05,-0.20727483925191403,-0.28139837670110557,1.0655302726076208,0.14842989160143838,0,4,False,False,False,False
UCTT,2026-05-05,-0.12136151565989672,-0.19548505310908826,3.1911442064603945,0.08526592428136048,1,4,False,False,False,True
EWTX,2026-05-05,0.1744278179659704,0.10030428051677887,1.0831385029150802,0.0395531828363036,2,4,True,False,True,False
SIMO,2026-05-07,0.11056980663788618,0.04791309274053779,1.891207354074207,0.45797035511724693,1,4,False,False,False,True
VIAV,2026-05-05,-0.32925699566126787,-0.4033805331104594,1.5359556160631105,0.15088958776133143,1,4,False,False,False,True
RNG,2026-05-05,0.6246279016535521,0.5505043642043606,1.5839857959916182,0.12083545634210346,0,4,False,False,False,False
HUT,2026-05-05,0.2845608672814215,0.21043732983222996,4.562359376282441,0.1665400775384669,4,4,True,True,True,True
SANM,2026-05-05,-0.055973672554459064,-0.1300972100036506,1.9072902777851073,0.14557637503325283,0,4,False,False,False,False
ABVX,2026-05-05,-0.16424302820768033,-0.23836656565687186,3.734030747195498,0.10485692407423741,4,4,True,True,True,True
POWI,2026-05-06,-0.3628967429987974,-0.4222952569011508,2.110950465284163,0.08960052121455653,1,4,False,False,False,True
USAS,2026-05-06,-0.22650228690815244,-0.28590080081050584,2.2424315355661224,0.05789480905013522,4,4,True,True,True,True
SEI,2026-05-06,-0.10462151327455937,-0.16402002717691277,2.3457173307338444,0.09547743527803476,4,4,True,True,True,True
KEEL,2026-05-06,-0.012135853224889193,-0.07153436712724259,3.8988057028065017,0.20851065081781628,4,4,True,True,True,True
ATI,2026-05-06,0.1458686792098447,0.0864701653074913,1.4781346985985793,0.06311981984548365,0,4,False,False,False,False
RIOT,2026-05-06,0.020253144590059335,-0.039145369312294065,3.905096330348773,0.1353066304964894,2,4,False,False,True,True
COHR,2026-05-06,-0.06716576293898069,-0.1265642768413341,2.771786787280461,0.10462564407221486,1,4,False,False,False,True
SSRM,2026-05-06,0.12337650708286962,0.06397799318051622,1.1422155141876202,0.07640376271452132,0,4,False,False,False,False
UUUU,2026-05-06,-0.47704081839527435,-0.5364393322976277,1.8429901654510927,0.10520937047850976,3,4,True,True,True,False
IBRX,2026-05-06,0.008353185425808096,-0.051045328476545304,2.205654018606284,0.07163323762660512,3,4,True,False,True,True
AG,2026-05-06,-0.08673631669715387,-0.14613483059950727,1.5953838257626753,0.04133463079113997,2,4,True,True,False,False
ATRO,2026-05-06,0.09964017810819925,0.04024166420584585,1.7383266727608502,0.06583066866402398,0,4,False,False,False,False
ARM,2026-05-06,0.36072477768176103,0.30132626377940763,2.407952595403624,0.14759785376157386,1,4,False,False,False,True
TWLO,2026-05-06,0.39007317681780096,0.33067466291544756,1.5326562563228416,0.23828177334215517,1,4,False,False,False,True
NVMI,2026-05-06,-0.32126686034316665,-0.38066537424552005,2.405435486434122,0.07012333398439696,2,4,False,True,False,True
CAMT,2026-05-06,-0.261232300568773,-0.3206308144711264,2.0363394189594257,0.07930594768718402,1,4,False,False,False,True
KMT,2026-05-06,-0.3108702611970887,-0.3702687750994421,1.332176791227719,0.043179427503561296,0,4,False,False,False,False
PRAX,2026-05-06,-0.1159523511632824,-0.1753508650656358,0.49576303206263206,0.08391169117828268,3,4,True,True,True,False
RVMD,2026-05-06,0.27596468631357296,0.21656617241121956,1.0520401307674287,0.4134605684994699,2,4,False,False,True,True
KOD,2026-05-06,-0.2935280322479499,-0.3529265461503033,1.8404750370090446,0.1111111530665927,2,4,True,False,True,False
ACMR,2026-05-06,0.3140121928412778,0.2546136789389244,3.2331634879616806,0.10093055494242686,3,4,False,True,True,True
ENTG,2026-05-06,-0.08083377327941887,-0.14023228718177227,2.6797155506731167,0.09320968807209828,1,4,False,False,False,True
PL,2026-05-06,-0.5699168484390641,-0.6293153623414175,1.772233704697895,0.15925601762676167,4,4,True,True,True,True
DFTX,2026-05-06,0.6771989176488793,0.6178004037465259,1.53739745743006,0.06783794071133764,2,4,True,False,True,False
CGNX,2026-05-07,-0.05703277204728885,-0.11968948594463724,1.6212634371780374,0.05830350713910537,0,4,False,False,False,False
GOOGL,2026-05-07,-0.10698678306071652,-0.1696434969580649,1.266237015845457,0.0996169612773592,0,4,False,False,False,False
JAZZ,2026-05-07,0.06388790787392074,0.0012311939765723423,0.6764600250499735,0.07683978723959473,0,4,False,False,False,False
GNRC,2026-05-07,-0.23164008729571817,-0.29429680119306656,1.7219508217719295,0.1648857952140026,1,4,False,False,False,True
EXK,2026-05-07,-0.001970394565615874,-0.06462710846296427,1.7702725877960697,0.08381842307789666,3,4,True,True,True,False
PAAS,2026-05-07,-0.15101741894685405,-0.21367413284420245,0.8487647289992106,0.12015039657365834,1,4,True,False,False,False
DIOD,2026-05-07,-0.19415573045542722,-0.2568124443527756,2.1138603674900667,0.07259825031993894,1,4,False,False,False,True
LQDA,2026-05-07,0.571192105561374,0.5085353916640256,1.2224066242147895,0.05577379273916949,1,4,False,False,True,False
MOD,2026-05-07,-0.2671240512133978,-0.32978076511074617,2.4996592225029883,0.0973831604574329,1,4,False,False,False,True
HIMX,2026-05-13,-0.2779437105382726,-0.32523987265508125,2.1759659268024554,0.30008118643167325,1,4,False,False,False,True
GOOG,2026-05-07,-0.11128484192625798,-0.17394155582360638,1.238554374537562,0.099709240254789,0,4,False,False,False,False
SVM,2026-05-07,-0.11951930730463745,-0.18217602120198584,1.3535090862905632,0.08056477680884355,2,4,True,True,False,False
MCHP,2026-05-07,-0.2556851832009437,-0.3183418970982921,1.725755577516285,0.09893310244247888,0,4,False,False,False,False
AXSM,2026-05-07,-0.06688763802510722,-0.12954435192245561,0.6741476379268686,0.12938300324329122,1,4,False,False,True,False
PENG,2026-05-11,0.2611391523381885,0.20957894546508182,2.4275403864659992,0.1346844551476052,1,4,False,False,False,True
CYTK,2026-05-08,-0.12157074058393291,-0.1755259426243424,0.7481298719074322,0.1671459920672782,2,4,False,False,True,True
