group,cohort,sym,ret,excess
Top Picks,2026-05,VAL,-0.22422459756445523,-0.27596964203551755
Breakouts,2026-04,VAL,-0.19798001350069128,-0.27974112716025323
Top Picks,2026-05,VISN,-0.047202295260650784,-0.12597622202605985
Breakouts,2026-04,VISN,-0.11161572243095708,-0.19337683609051903
Breakouts,2026-04,WFRD,-0.2508529155436653,-0.33261402920322725
Top Picks,2026-05,MTSI,-0.23059329077675295,-0.28374892067365143
Breakouts,2026-05,MTSI,-0.0178408313564955,-0.09661475812190456
Breakouts,2026-05,ASX,0.39822426949594414,0.3194503427305351
Breakouts,2026-05,SGML,-0.5325443432526173,-0.6113182700180264
Breakouts,2026-05,WULF,-0.18113556075737947,-0.25990948752278853
Top Picks,2026-05,UMC,0.4719794771898915,0.41243650194734993
Breakouts,2026-05,UMC,0.9829423438132792,0.9041684170478701
Breakouts,2026-05,COGT,-0.12639915187295592,-0.20517307863836498
Breakouts,2026-05,FN,-0.43163065875083406,-0.5104045855162431
Top Picks,2026-06,CLS,-0.2709568197582328,-0.2944548293802105
Breakouts,2026-05,CLS,-0.17790561688663153,-0.2566795436520406
Top Picks,2026-06,FRO,0.34834985202365143,0.3184247032951186
Breakouts,2026-05,FRO,0.4990954837792694,0.4203215570138603
Breakouts,2026-05,SMTC,0.6452091562360767,0.5664352294706676
Breakouts,2026-05,LSCC,-0.030753978578532015,-0.10952790534394108
Top Picks,2026-05,VSAT,0.014746919886488463,-0.03404693635975686
Breakouts,2026-05,VSAT,0.1729114562641345,0.09413752949872545
Top Picks,2026-06,ACLS,-0.31245065023930807,-0.36722086091496386
Breakouts,2026-05,ACLS,-0.20243881426502686,-0.2851792316502868
Breakouts,2026-05,EQNR,0.048926983902168875,-0.03381343348309107
Top Picks,2026-07,EZPW,-0.15397582238666707,-0.19511644963306762
Breakouts,2026-05,EZPW,-0.07666359868777228,-0.15940401607303223
Top Picks,2026-06,SITM,-0.15243253204969753,-0.19411863833583753
Breakouts,2026-05,SITM,0.1304101714308814,0.04766975404562146
Top Picks,2026-06,VECO,-0.4674855403038105,-0.4974106890323433
Breakouts,2026-05,VECO,-0.13174944127755583,-0.21448985866281578
Breakouts,2026-05,APA,0.049936900638343884,-0.03280351674691606
Top Picks,2026-05,TTMI,-0.2894872845903542,-0.336205363383554
Breakouts,2026-05,TTMI,-0.21242144102580307,-0.295161858411063
Breakouts,2026-05,ESI,-0.21591894893953956,-0.2986593663247995
Top Picks,2026-09,CLMT,0.128105559306658,0.1101991798497417
Breakouts,2026-05,CLMT,0.7019032601752995,0.6191628427900395
Top Picks,2026-05,KGS,-0.23150706667346388,-0.27060036703924084
Breakouts,2026-05,KGS,-0.16233130977410692,-0.24507172715936687
Breakouts,2026-05,PBF,0.6086347565962016,0.5258943392109416
Breakouts,2026-05,APLD,-0.2088128069329631,-0.29155322431822306
Breakouts,2026-05,FSLY,-0.15265761560206437,-0.2267811530512559
Breakouts,2026-05,SQM,-0.22640024576087536,-0.3005237832100669
Breakouts,2026-05,ONTO,-0.09514750496285862,-0.16927104241205015
Top Picks,2026-05,TSEM,-0.13646261841664964,-0.1837587805334583
Breakouts,2026-05,TSEM,0.03675789735198132,-0.03736564009721022
Breakouts,2026-05,OGN,0.027754748948262575,-0.04636878850092896
Top Picks,2026-05,CRDO,-0.14257588419724354,-0.18519483800806902
Breakouts,2026-05,CRDO,-0.03254638019001399,-0.10666991763920552
Breakouts,2026-05,CTRI,-0.5108225286946323,-0.5849460661438238
Breakouts,2026-05,LWLG,-0.6722487892271303,-0.7463723266763218
Breakouts,2026-05,GTX,0.015433020332279002,-0.05869051711691253
Breakouts,2026-05,NEXA,-0.1874261751861852,-0.26154971263537674
Breakouts,2026-05,AMSC,-0.45028175433917494,-0.5244052917883665
Breakouts,2026-05,VET,-0.11204286013928832,-0.18616639758847986
Breakouts,2026-05,TRMD,0.16964872981346746,0.09552519236427592
Breakouts,2026-05,ALGM,-0.2854267354684069,-0.35955027291759845
Breakouts,2026-05,AXTI,-0.25681080393173084,-0.33093434138092237
Top Picks,2026-06,NBIS,-0.11988206700368187,-0.14476998298907262
Breakouts,2026-05,NBIS,0.3233288169329538,0.24920527948376225
Top Picks,2026-06,AMAT,-0.055740090129234865,-0.107414089233824
Breakouts,2026-05,AMAT,0.1326473364365286,0.05852379898733706
Top Picks,2026-07,ALMS,-0.7300990785166862,-0.7671598771853753
Breakouts,2026-05,ALMS,-0.6976655052010472,-0.7717890426502387
Breakouts,2026-05,TVTX,0.40312503751899587,0.32900150006980433
Breakouts,2026-05,YOU,-0.3277470616699204,-0.40187059911911194
Top Picks,2026-05,CIFR,-0.1447964121133034,-0.21891994956249494
Breakouts,2026-05,CIFR,-0.13738020309650345,-0.19677871699885685
Top Picks,2026-06,AMKR,-0.3683734542888323,-0.4164603127617298
Breakouts,2026-05,AMKR,-0.3176264446196546,-0.39174998206884615
Top Picks,2026-07,ANAB,-0.21329322318269373,-0.24833300635153954
Breakouts,2026-05,ANAB,-0.20727483925191403,-0.28139837670110557
Breakouts,2026-05,UCTT,-0.12136151565989672,-0.19548505310908826
Breakouts,2026-05,EWTX,0.1744278179659704,0.10030428051677887
Top Picks,2026-05,SIMO,0.13291275454685025,0.05878921709765872
Breakouts,2026-05,SIMO,0.11056980663788618,0.04791309274053779
Breakouts,2026-05,VIAV,-0.32925699566126787,-0.4033805331104594
Breakouts,2026-05,RNG,0.6246279016535521,0.5505043642043606
Top Picks,2026-05,HUT,-0.05067013171245238,-0.11006864561480578
Breakouts,2026-05,HUT,0.2845608672814215,0.21043732983222996
Breakouts,2026-05,SANM,-0.055973672554459064,-0.1300972100036506
Top Picks,2026-05,ABVX,-0.22001060740631662,-0.24768935854018315
Breakouts,2026-05,ABVX,-0.16424302820768033,-0.23836656565687186
Breakouts,2026-05,POWI,-0.3628967429987974,-0.4222952569011508
Breakouts,2026-05,USAS,-0.22650228690815244,-0.28590080081050584
Breakouts,2026-05,SEI,-0.10462151327455937,-0.16402002717691277
Breakouts,2026-05,KEEL,-0.012135853224889193,-0.07153436712724259
Breakouts,2026-05,ATI,0.1458686792098447,0.0864701653074913
Breakouts,2026-05,RIOT,0.020253144590059335,-0.039145369312294065
Breakouts,2026-05,COHR,-0.06716576293898069,-0.1265642768413341
Breakouts,2026-05,SSRM,0.12337650708286962,0.06397799318051622
Top Picks,2026-05,UUUU,-0.47323340514820755,-0.535890119045556
Breakouts,2026-05,UUUU,-0.47704081839527435,-0.5364393322976277
Breakouts,2026-05,IBRX,0.008353185425808096,-0.051045328476545304
Breakouts,2026-05,AG,-0.08673631669715387,-0.14613483059950727
Breakouts,2026-05,ATRO,0.09964017810819925,0.04024166420584585
Top Picks,2026-06,ARM,-0.21022382517775917,-0.23511174116314992
Breakouts,2026-05,ARM,0.36072477768176103,0.30132626377940763
Breakouts,2026-05,TWLO,0.39007317681780096,0.33067466291544756
Breakouts,2026-05,NVMI,-0.32126686034316665,-0.38066537424552005
Breakouts,2026-05,CAMT,-0.261232300568773,-0.3206308144711264
Breakouts,2026-05,KMT,-0.3108702611970887,-0.3702687750994421
Breakouts,2026-05,PRAX,-0.1159523511632824,-0.1753508650656358
Breakouts,2026-05,RVMD,0.27596468631357296,0.21656617241121956
Top Picks,2026-07,KOD,-0.21520220064900641,-0.24231757369955353
Breakouts,2026-05,KOD,-0.2935280322479499,-0.3529265461503033
Top Picks,2026-06,ACMR,-0.22543907390272733,-0.27352593237562484
Breakouts,2026-05,ACMR,0.3140121928412778,0.2546136789389244
